lat,lon
 3.816667,-73.916667
 4.28992944,-73.51971082
 -13.525,-71.9722
 -23.6638588,-70.4009419
 -23.63552166,-70.3948697
 -11,-68.7333
 -9.96667,-67.8
 8.0771554,-63.5198345
 -9.8767685,-63.0402046
 -10.8835839,-61.9512534
 -10.8835839,-61.9512534
 2.85013157,-60.70697674
 2.80649541,-60.67737549
 2.80649541,-60.67737549
 2.82,-60.67194444
 2.82,-60.67194444
 2.82,-60.67194444
 2.82,-60.67194444
 2.82,-60.67194444
 2.82,-60.67194444
 2.82,-60.67194444
 2.82863025,-60.66670815
 2.85474935,-60.64464618
 -3.10889,-60.0411
 -3.10889,-60.0411
 -3.10719,-60.0261
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.1426,-60.01552
 -3.1426,-60.01552
 -3.1426,-60.01552
 -3.1426,-60.01552
 -3.09292892,-60.01023026
 -3.1356091,-60.0019186
 -3.1356091,-60.0019186
 -3.1356091,-60.0019186
 -3.1356091,-60.0019186
 -3.1356091,-60.0019186
 -3.0366693,-59.9342078
 -29.755,-57.0878
 -29.755,-57.0878
 -15.5958,-56.0969
 -15.5615,-56.0469756
 -15.6301505,-56.0134243
 -15.6301505,-56.0134243
 -15.6301505,-56.0134243
 -15.6301505,-56.0134243
 -15.6328156,-56.0118967
 -15.6328156,-56.0118967
 -9.9,-55.9
 -21.6333,-55.15
 -22.22083333,-54.80583333
 -16.4667,-54.6333
 -16.4667,-54.6333
 -20.45,-54.6167
 -25.55,-54.5833
 -25.55,-54.5833
 -25.55,-54.5833
 -25.55,-54.5833
 -25.55,-54.5833
 -23.7667,-54.1
 -28.3861554,-53.9092814
 -22.3139,-53.8176
 -22.3139,-53.8176
 -17.3167,-53.2
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -21.7,-52.3667
 -3.199,-52.2106
 -2.88456068,-52.01331068
 -2.88456068,-52.01331068
 -2.88456068,-52.01331068
 -2.88456068,-52.01331068
 -21.87909787,-51.85445509
 -21.8667,-51.8333
